longitude,latitude,cluster
-52.82376839937284,-11.006473271381818,0
-52.68372104657861,-11.006473271381818,0
-52.543314367670725,-11.006473271381818,0
-52.85242465693625,-11.006563102910231,0
-52.56981466855225,-11.006563102910231,0
-52.878475800175714,-11.006652934438645,0
-52.63116960245761,-11.006652934438645,0
-52.90749138385278,-11.006742765967054,0
-52.81694120321353,-11.006742765967054,0
-52.66620389853827,-11.006742765967054,0
-52.537115992210296,-11.006742765967054,0
-52.84721442828836,-11.006832597495466,0
-52.5686468586829,-11.006832597495466,0
-52.87784697947684,-11.00692242902388,0
-52.6333255591395,-11.00692242902388,0
-52.90910835136419,-11.00701226055229,0
-52.81837850766812,-11.00701226055229,0
-52.66997682273158,-11.00701226055229,0
-52.5408889164036,-11.00701226055229,0
-52.85314330916355,-11.007102092080702,0
-52.595775980263305,-11.007102092080702,0
-52.88781827913056,-11.007191923609115,0
-52.64509348936146,-11.007191923609115,0
-52.51726322443125,-11.007191923609115,0
-52.832302394571975,-11.007281755137528,0
-52.693961840817565,-11.007281755137528,0
-52.559034885142815,-11.007281755137528,0
-52.86958247886293,-11.007371586665938,0
-52.62613903686654,-11.007371586665938,0
-52.905694753284536,-11.00746141819435,0
-52.81478524653164,-11.00746141819435,0
-52.66764120299287,-11.00746141819435,0
-52.539721106534245,-11.00746141819435,0
-52.85197549929419,-11.007551249722765,0
-52.59658446401901,-11.007551249722765,0
-52.89015389886927,-11.007641081251174,0
-52.64841725591271,-11.007641081251174,0
-52.52175480085185,-11.007641081251174,0
-52.837332960163046,-11.007730912779586,0
-52.71480275540914,-11.007730912779586,0
-52.56676039658624,-11.007730912779586,0
-52.87865546323254,-11.007820744307995,0
-52.63655949416233,-11.007820744307995,0
-52.51349030023796,-11.007820744307995,0
-52.82942778566279,-11.00791057583641,0
-52.69036857968109,-11.00791057583641,0
-52.55804673833028,-11.00791057583641,0
-52.87039096261864,-11.008000407364822,0
-52.62829499354843,-11.008000407364822,0
-52.91234228638702,-11.008090238893232,0
-52.82224126338984,-11.008090238893232,0
-52.68452953033431,-11.008090238893232,0
-52.5529263412108,-11.008090238893232,0
-52.866079049254864,-11.008180070421648,0
-52.623623754071005,-11.008180070421648,0
-52.909557509006255,-11.008269901950058,0
-52.81945648600907,-11.008269901950058,0
-52.682283742124014,-11.008269901950058,0
-52.55193819439827,-11.008269901950058,0
-52.86491123938551,-11.00835973347847,0
-52.62479156394036,-11.00835973347847,0
-52.91315077014273,-11.00844956500688,0
-52.823229410202366,-11.00844956500688,0
-52.686415992430966,-11.00844956500688,0
-52.55696875998934,-11.00844956500688,0
-52.87146894095959,-11.008539396535294,0
-52.63404421136679,-11.008539396535294,0
-52.51420895246525,-11.008539396535294,0
-52.83140407928785,-11.008629228063706,0
-52.69512965068692,-11.008629228063706,0
-52.57008416313749,-11.008629228063706,0
-52.8835961972952,-11.008719059592115,0
-52.64877658202636,-11.008719059592115,0
