Longitude,Latitude
-52.7422912031032,-11.006832597495466
-52.5686468586829,-11.006832597495466
-52.877846979476836,-11.006922429023879
-52.77445089027468,-11.006922429023879
-52.6333255591395,-11.006922429023879
-52.90910835136419,-11.00701226055229
-52.81837850766812,-11.00701226055229
-52.66997682273158,-11.00701226055229
-52.5408889164036,-11.00701226055229
-52.85314330916355,-11.007102092080702
-52.74822008397839,-11.007102092080702
-52.595775980263305,-11.007102092080702
-52.887818279130556,-11.007191923609115
-52.78478151604205,-11.007191923609115
-52.645093489361464,-11.007191923609115
-52.517263224431254,-11.007191923609115
-52.832302394571975,-11.007281755137527
-52.693961840817565,-11.007281755137527
-52.559034885142815,-11.007281755137527
-52.86958247886293,-11.007371586665938
-52.7656474004903,-11.007371586665938
-52.62613903686654,-11.007371586665938
-52.905694753284536,-11.00746141819435
-52.81478524653164,-11.00746141819435
-52.66764120299287,-11.00746141819435
-52.539721106534245,-11.00746141819435
-52.85197549929419,-11.007551249722763
-52.745974295768086,-11.007551249722763
-52.59658446401901,-11.007551249722763
-52.89015389886927,-11.007641081251174
-52.786937472723935,-11.007641081251174
-52.648417255912705,-11.007641081251174
-52.52175480085185,-11.007641081251174
-52.837332960163046,-11.007730912779586
-52.71480275540914,-11.007730912779586
-52.56676039658624,-11.007730912779586
-52.87865546323254,-11.007820744307997
-52.77588819472927,-11.007820744307997
-52.63655949416233,-11.007820744307997
-52.513490300237955,-11.007820744307997
-52.82942778566279,-11.00791057583641
-52.69036857968109,-11.00791057583641
-52.55804673833028,-11.00791057583641
-52.87039096261864,-11.008000407364822
-52.76735419953013,-11.008000407364822
-52.62829499354843,-11.008000407364822
-52.91234228638702,-11.008090238893233
-52.822241263389834,-11.008090238893233
-52.68452953033431,-11.008090238893233
-52.5529263412108,-11.008090238893233
-52.866079049254864,-11.008180070421647
-52.76367110686524,-11.008180070421647
-52.623623754071005,-11.008180070421647
-52.909557509006255,-11.008269901950058
-52.81945648600907,-11.008269901950058
-52.682283742124014,-11.008269901950058
-52.55193819439827,-11.008269901950058
-52.86491123938551,-11.00835973347847
-52.76250329699589,-11.00835973347847
-52.62479156394036,-11.00835973347847
-52.91315077014273,-11.008449565006881
-52.823229410202366,-11.008449565006881
-52.686415992430966,-11.008449565006881
-52.55696875998934,-11.008449565006881
-52.87146894095959,-11.008539396535294
-52.768881335513136,-11.008539396535294
-52.63404421136679,-11.008539396535294
-52.51420895246525,-11.008539396535294
-52.83140407928785,-11.008629228063706
-52.69512965068692,-11.008629228063706
-52.57008416313749,-11.008629228063706
-52.8835961972952,-11.008719059592117
