Longitude,Latitude
-53.28469397165456,-11.03926177925218
-53.28460414012615,-11.03926177925218
-53.36805763002086,-11.039351610780594
-53.28469397165456,-11.039351610780594
-53.28460414012615,-11.039351610780594
-53.36823729307768,-11.039531273837417
-53.3684169561345,-11.039710936894242
-53.36976442906068,-11.039800768422653
-53.28388548789886,-11.04007026300789
-53.2827176780295,-11.04007026300789
-53.28406515095568,-11.040339757593125
-53.28397531942727,-11.040339757593125
-53.28253801497268,-11.040339757593125
-53.367967798492444,-11.040429589121537
-53.28253801497268,-11.040519420649948
-53.28451430859774,-11.040788915235185
-53.31047562030879,-11.041238072877244
-53.28217868885903,-11.041327904405657
-53.28208885733062,-11.041327904405657
-53.36904577683339,-11.041417735934068
-53.28217868885903,-11.041417735934068
-53.28208885733062,-11.041417735934068
-53.28244818344427,-11.04150756746248
-53.28244818344427,-11.041597398990891
-53.28235835191585,-11.041687230519305
-53.31047562030879,-11.041956725104539
-53.3135298922748,-11.042226219689775
-53.2827176780295,-11.042226219689775
-53.28235835191585,-11.042316051218188
-53.310295957251974,-11.042675377331836
-53.31020612572356,-11.042675377331836
-53.3691356083618,-11.042855040388659
-53.282897341086326,-11.042855040388659
-53.28280750955791,-11.042855040388659
-53.283346498728385,-11.043483861087543
-53.3691356083618,-11.043573692615954
-53.282627846501086,-11.04384318720119
-53.28199902580221,-11.044112681786427
-53.281909194273794,-11.044112681786427
-53.282627846501086,-11.044472007900074
-53.370393249759566,-11.044651670956899
-53.37030341823115,-11.044651670956899
-53.302660277336955,-11.044651670956899
-53.30993663113832,-11.044831334013722
-53.30876882126897,-11.04608897541149
-53.30176196205284,-11.046178806939901
-53.30993663113832,-11.046358469996726
-53.3097569680815,-11.046358469996726
-53.308858652797376,-11.046448301525137
-53.308858652797376,-11.046538133053549
-53.30876882126897,-11.046538133053549
-53.37165089115734,-11.047166953752432
-53.43812622218218,-11.047256785280846
-53.37174072268574,-11.047256785280846
-53.282627846501086,-11.047436448337669
-53.437587233011705,-11.04752627986608
-53.438575379824236,-11.047616111394493
-53.37263903796987,-11.04788560597973
-53.37192038574257,-11.048155100564964
-53.372279711856216,-11.048244932093377
-53.37236954338463,-11.0484245951502
-53.37263903796987,-11.048514426678611
-53.373178027140334,-11.048963584320672
-53.3736271847824,-11.049143247377495
-53.37452550006652,-11.04932291043432
-53.37452550006652,-11.049412741962731
-53.30086364676872,-11.049502573491143
-53.28244818344427,-11.049502573491143
-53.28181936274538,-11.049502573491143
-53.30086364676872,-11.049592405019556
-53.28244818344427,-11.049592405019556
-53.28181936274538,-11.049592405019556
-53.300773815240305,-11.049682236547968
-53.44019234733565,-11.049861899604792
-53.44010251580724,-11.049861899604792
-53.30131280441078,-11.049951731133204
-53.282627846501086,-11.049951731133204
-53.375872972992696,-11.050041562661615
-53.37551364687905,-11.050131394190027
-53.37479499465175,-11.05022122571844
